category_external_id,marking_required,certificate_required,entry_cost_uzs,entry_weeks,optimal_entry_uzs,seasonality,source,note
15271,,,,,,,"","TOʻLDIRILMAGAN — Smartfonlar Android (talab 618813)"
11937,,,,,,,"","TOʻLDIRILMAGAN — Qoplamalar (talab 285516)"
12980,,,,,,,"","TOʻLDIRILMAGAN — Simsiz quloqchinlar (talab 265835)"
11770,,,,,,,"","TOʻLDIRILMAGAN — Sumkalar (talab 209020)"
12648,,,,,,,"","TOʻLDIRILMAGAN — Parfyumlangan suv (talab 178247)"
13061,,,,,,,"","TOʻLDIRILMAGAN — Ziraklar (talab 154057)"
13983,,,,,,,"","TOʻLDIRILMAGAN — Krossovkalar (talab 146784)"
2610,,,,,,,"","TOʻLDIRILMAGAN — Soat (talab 132246)"
11894,,,,,,,"","TOʻLDIRILMAGAN — Uzuklar (talab 112946)"
15272,,,,,,,"","TOʻLDIRILMAGAN — Smartfonlar Apple iPhone (iOS) (talab 112004)"
12144,,,,,,,"","TOʻLDIRILMAGAN — Lab boʻyoqlari (talab 103491)"
13069,,,,,,,"","TOʻLDIRILMAGAN — Kiyim to'plamlari (talab 99083)"
2607,,,,,,,"","TOʻLDIRILMAGAN — Soat (talab 93649)"
12663,,,,,,,"","TOʻLDIRILMAGAN — Stikerlar (talab 92630)"
11574,,,,,,,"","TOʻLDIRILMAGAN — Bilaguzuklar (talab 86157)"
14251,,,,,,,"","TOʻLDIRILMAGAN — Kiprik uchun tushlar (talab 82596)"
11813,,,,,,,"","TOʻLDIRILMAGAN — Soch toʻgʻnagʻichlari va taroqlar (talab 82128)"
13381,,,,,,,"","TOʻLDIRILMAGAN — Aqlli soatlar (talab 81089)"
14237,,,,,,,"","TOʻLDIRILMAGAN — Krossovkalar (talab 77513)"
14125,,,,,,,"","TOʻLDIRILMAGAN — Matoli niqoblar (talab 76903)"
11956,,,,,,,"","TOʻLDIRILMAGAN — Futbolkalar (talab 76337)"
12731,,,,,,,"","TOʻLDIRILMAGAN — Organayzerlar va ajratuvchilar (talab 72436)"
12336,,,,,,,"","TOʻLDIRILMAGAN — Yumshoq oʻyinchoqlar (talab 72287)"
12476,,,,,,,"","TOʻLDIRILMAGAN — Zanjirlar (talab 72100)"
12147,,,,,,,"","TOʻLDIRILMAGAN — Kalta yengli futbolkalar (talab 71570)"
12834,,,,,,,"","TOʻLDIRILMAGAN — Pijamalar (talab 70893)"
12520,,,,,,,"","TOʻLDIRILMAGAN — Noutbuklar (talab 69640)"
11878,,,,,,,"","TOʻLDIRILMAGAN — Shampunlar (talab 65830)"
14242,,,,,,,"","TOʻLDIRILMAGAN — Har kun kiyiladigan liboslar (talab 64657)"
12696,,,,,,,"","TOʻLDIRILMAGAN — Planshetlar (talab 64420)"
